ticker,date,close,session_close
ASTER-DEMO,2024-08-30,99,2024-08-30T20:00:00Z
ASTER-DEMO,2024-09-03,100,2024-09-03T20:00:00Z
ASTER-DEMO,2024-09-04,106,2024-09-04T20:00:00Z
ASTER-DEMO,2024-09-05,105,2024-09-05T20:00:00Z
ASTER-DEMO,2024-09-06,107,2024-09-06T20:00:00Z
ASTER-DEMO,2024-09-09,101,2024-09-09T20:00:00Z
ASTER-DEMO,2024-09-10,103,2024-09-10T20:00:00Z
ASTER-DEMO,2024-09-11,102,2024-09-11T20:00:00Z
ASTER-DEMO,2024-09-12,104,2024-09-12T20:00:00Z
ASTER-DEMO,2024-09-13,100,2024-09-13T20:00:00Z
